"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","100","Teste l'API de rapports","","Sat Oct 25 13:48:18 CEST 2025","passed","Sat Oct 25 13:48:18 CEST 2025","","Tests API Revers.io","",""
"","106","Teste l'API de transport","","Sat Oct 25 13:48:18 CEST 2025","passed","Sat Oct 25 13:48:18 CEST 2025","","Tests API Revers.io","",""
"","884","Teste l'API de notification des clients","","Sat Oct 25 13:48:19 CEST 2025","failed","Sat Oct 25 13:48:20 CEST 2025","","Tests API Revers.io","",""
"","597","Teste la validation des paramètres API","","Sat Oct 25 13:48:21 CEST 2025","passed","Sat Oct 25 13:48:21 CEST 2025","","Tests API Revers.io","",""
"","408","Teste les performances des API endpoints","","Sat Oct 25 13:48:20 CEST 2025","passed","Sat Oct 25 13:48:21 CEST 2025","","Tests API Revers.io","",""
"","137","Teste l'API de commandes","","Sat Oct 25 13:48:17 CEST 2025","passed","Sat Oct 25 13:48:18 CEST 2025","","Tests API Revers.io","",""
"","116","Teste l'API de clients","","Sat Oct 25 13:48:18 CEST 2025","passed","Sat Oct 25 13:48:18 CEST 2025","","Tests API Revers.io","",""
"","160","Teste l'API de retours","","Sat Oct 25 13:48:17 CEST 2025","passed","Sat Oct 25 13:48:17 CEST 2025","","Tests API Revers.io","",""
"","110","Teste l'API de synchronisation","","Sat Oct 25 13:48:19 CEST 2025","passed","Sat Oct 25 13:48:19 CEST 2025","","Tests API Revers.io","",""
"","93","Teste l'API de suivi","","Sat Oct 25 13:48:18 CEST 2025","passed","Sat Oct 25 13:48:18 CEST 2025","","Tests API Revers.io","",""
"","109","Teste l'API de réparations","","Sat Oct 25 13:48:18 CEST 2025","passed","Sat Oct 25 13:48:18 CEST 2025","","Tests API Revers.io","",""
"","324","Teste l'API de partenaires","","Sat Oct 25 13:48:18 CEST 2025","passed","Sat Oct 25 13:48:19 CEST 2025","","Tests API Revers.io","",""
"","237","Teste l'API de remboursements","","Sat Oct 25 13:48:19 CEST 2025","passed","Sat Oct 25 13:48:19 CEST 2025","","Tests API Revers.io","",""
"","300","Teste l'API de stocks","","Sat Oct 25 13:48:19 CEST 2025","passed","Sat Oct 25 13:48:19 CEST 2025","","Tests API Revers.io","",""
